UF;Nome_UF;Região Geográfica Intermediária;Nome Região Geográfica Intermediária;Região Geográfica Imediata;Nome Região Geográfica Imediata;Mesorregião Geográfica;Nome_Mesorregião;Microrregião Geográfica;Nome_Microrregião;Município;Código Município Completo;Nome_Município;Distrito;Código de Distrito Completo;Nome_Distrito;Subdistrito;Código de Subdistrito Completo;Nome_Subdistrito
11;Rondônia;1101;Porto Velho;110001;Porto Velho;01;Madeira-Guaporé;001;Porto Velho;00205;1100205;Porto Velho;05;110020505;Porto Velho;06;11002050506;Zona 01
11;Rondônia;1101;Porto Velho;110001;Porto Velho;01;Madeira-Guaporé;001;Porto Velho;00205;1100205;Porto Velho;05;110020505;Porto Velho;07;11002050507;Zona 02
11;Rondônia;1101;Porto Velho;110001;Porto Velho;01;Madeira-Guaporé;001;Porto Velho;00205;1100205;Porto Velho;05;110020505;Porto Velho;08;11002050508;Zona 03
11;Rondônia;1101;Porto Velho;110001;Porto Velho;01;Madeira-Guaporé;001;Porto Velho;00205;1100205;Porto Velho;05;110020505;Porto Velho;09;11002050509;Zona 04
11;Rondônia;1101;Porto Velho;110001;Porto Velho;01;Madeira-Guaporé;001;Porto Velho;00205;1100205;Porto Velho;05;110020505;Porto Velho;10;11002050510;Zona 05
13;Amazonas;1301;Manaus;130001;Manaus;03;Centro Amazonense;007;Manaus;02603;1302603;Manaus;05;130260305;Manaus;06;13026030506;Primeira R.A.
13;Amazonas;1301;Manaus;130001;Manaus;03;Centro Amazonense;007;Manaus;02603;1302603;Manaus;05;130260305;Manaus;07;13026030507;Segunda R.A.
13;Amazonas;1301;Manaus;130001;Manaus;03;Centro Amazonense;007;Manaus;02603;1302603;Manaus;05;130260305;Manaus;08;13026030508;Terceira R.A.
13;Amazonas;1301;Manaus;130001;Manaus;03;Centro Amazonense;007;Manaus;02603;1302603;Manaus;05;130260305;Manaus;09;13026030509;Quarta R.A.
13;Amazonas;1301;Manaus;130001;Manaus;03;Centro Amazonense;007;Manaus;02603;1302603;Manaus;05;130260305;Manaus;10;13026030510;Quinta R.A.
13;Amazonas;1301;Manaus;130001;Manaus;03;Centro Amazonense;007;Manaus;02603;1302603;Manaus;05;130260305;Manaus;11;13026030511;Sexta R.A.
